;r;g;b;color
0;221;88;81;red
1;221;88;81;red
2;221;88;81;red
3;221;88;81;red
4;220;87;80;red
5;219;86;79;red
6;218;85;78;red
7;217;84;77;red
8;218;85;78;red
9;218;85;78;red
10;218;85;78;red
11;218;85;78;red
12;218;85;78;red
13;219;85;78;red
14;220;86;79;red
15;220;85;79;red
16;221;86;80;red
17;221;86;80;red
18;220;87;80;red
19;220;87;80;red
20;221;88;81;red
21;221;88;81;red
22;223;90;83;red
23;223;90;83;red
24;222;89;82;red
25;222;89;82;red
26;222;89;81;red
27;222;89;80;red
28;222;89;80;red
29;222;89;80;red
30;220;87;78;red
31;219;85;76;red
32;219;85;76;red
33;220;86;77;red
34;220;87;78;red
35;221;88;79;red
36;222;89;80;red
37;221;88;79;red
38;220;87;78;red
39;221;87;78;red
40;221;87;78;red
41;222;88;79;red
42;222;88;79;red
43;222;88;79;red
44;222;88;80;red
45;223;88;82;red
46;222;87;81;red
47;221;86;80;red
48;221;86;80;red
49;221;86;80;red
50;221;86;80;red
51;221;86;80;red
52;222;87;81;red
53;222;87;81;red
54;221;86;80;red
55;221;86;80;red
56;221;86;80;red
57;222;87;81;red
58;221;86;80;red
59;221;86;80;red
60;221;88;81;red
61;221;88;81;red
62;220;87;80;red
63;221;88;81;red
64;220;87;80;red
65;219;86;79;red
66;219;86;79;red
67;219;86;79;red
68;219;86;79;red
69;218;85;78;red
70;218;85;78;red
71;219;86;79;red
72;219;86;79;red
73;219;86;79;red
74;219;85;79;red
75;219;84;78;red
76;221;86;80;red
77;221;86;80;red
78;221;87;80;red
79;221;88;81;red
80;222;89;82;red
81;222;89;82;red
82;222;89;82;red
83;223;90;83;red
84;222;89;82;red
85;222;89;82;red
86;221;88;79;red
87;221;88;79;red
88;221;88;79;red
89;221;88;79;red
90;220;86;77;red
91;220;86;77;red
92;220;86;77;red
93;220;86;77;red
94;221;88;79;red
95;222;89;80;red
96;222;89;80;red
97;222;89;80;red
98;221;88;79;red
99;221;87;78;red
100;221;87;78;red
101;221;87;78;red
102;222;88;79;red
103;223;89;80;red
104;223;89;81;red
105;223;88;82;red
106;222;87;81;red
107;220;85;79;red
108;220;85;79;red
109;221;86;80;red
110;221;86;80;red
111;221;86;80;red
112;222;87;81;red
113;222;87;81;red
114;220;85;79;red
115;220;85;79;red
116;221;86;80;red
117;222;87;81;red
118;220;85;79;red
119;219;84;78;red
120;221;88;80;red
121;219;86;78;red
122;220;87;79;red
123;221;88;81;red
124;220;87;80;red
125;220;87;80;red
126;219;86;79;red
127;219;86;79;red
128;220;87;80;red
129;219;86;79;red
130;218;85;78;red
131;219;86;79;red
132;219;86;79;red
133;220;87;80;red
134;220;86;79;red
135;219;86;79;red
136;220;86;80;red
137;221;87;81;red
138;221;87;81;red
139;222;88;81;red
140;222;87;81;red
141;222;88;81;red
142;222;89;82;red
143;223;90;83;red
144;222;89;82;red
145;222;89;82;red
146;221;88;79;red
147;220;87;78;red
148;220;87;78;red
149;220;87;78;red
150;219;86;77;red
151;219;86;77;red
152;220;87;78;red
153;221;87;78;red
154;222;88;79;red
155;222;89;80;red
156;222;89;80;red
157;222;89;80;red
158;223;89;80;red
159;223;89;80;red
160;222;88;79;red
161;221;87;78;red
162;222;88;79;red
163;222;88;79;red
164;223;89;80;red
165;222;88;80;red
166;221;87;80;red
167;220;85;79;red
168;219;84;78;red
169;220;85;79;red
170;221;86;80;red
171;222;87;81;red
172;222;87;81;red
173;221;86;80;red
174;220;85;79;red
175;219;84;78;red
176;221;86;80;red
177;221;86;80;red
178;219;84;78;red
179;218;83;77;red
180;220;87;78;red
181;220;87;78;red
182;220;87;79;red
183;220;87;80;red
184;219;86;79;red
185;219;86;79;red
186;218;85;78;red
187;219;86;79;red
188;220;87;80;red
189;219;86;79;red
190;219;86;79;red
191;219;86;79;red
192;218;85;78;red
193;219;86;79;red
194;220;87;80;red
195;220;86;80;red
196;219;86;79;red
197;220;87;80;red
198;221;87;81;red
199;222;87;81;red
200;221;86;80;red
201;222;87;81;red
202;222;88;82;red
203;222;89;82;red
204;222;89;82;red
205;221;88;81;red
206;220;87;79;red
207;220;87;78;red
208;220;87;78;red
209;220;87;78;red
210;221;88;79;red
211;220;87;78;red
212;220;87;78;red
213;221;87;78;red
214;222;89;80;red
215;222;89;80;red
216;223;90;81;red
217;222;89;80;red
218;223;89;80;red
219;223;89;80;red
220;222;88;79;red
221;221;87;78;red
222;222;88;79;red
223;222;88;79;red
224;222;88;79;red
225;221;87;78;red
226;221;86;79;red
227;220;85;79;red
228;219;84;78;red
229;219;84;78;red
230;220;85;79;red
231;220;85;79;red
232;219;84;78;red
233;219;84;78;red
234;219;84;78;red
235;220;85;79;red
236;220;85;79;red
237;219;84;78;red
238;218;83;77;red
239;218;83;77;red
240;220;87;78;red
241;220;87;78;red
242;220;87;79;red
243;219;86;79;red
244;219;86;79;red
245;219;86;79;red
246;219;86;79;red
247;219;86;79;red
248;219;86;79;red
249;218;85;78;red
250;219;86;79;red
251;219;86;79;red
252;218;85;78;red
253;219;86;79;red
254;220;87;80;red
255;219;86;79;red
256;219;86;79;red
257;219;86;79;red
258;221;87;80;red
259;221;86;80;red
260;221;86;80;red
261;223;88;82;red
262;222;89;82;red
263;222;89;82;red
264;222;89;82;red
265;220;87;80;red
266;221;88;79;red
267;221;88;79;red
268;221;88;79;red
269;221;88;79;red
270;222;89;80;red
271;221;88;79;red
272;220;87;78;red
273;221;88;79;red
274;221;88;79;red
275;221;88;79;red
276;221;88;79;red
277;221;88;79;red
278;223;89;80;red
279;223;89;80;red
280;223;89;80;red
281;222;88;79;red
282;222;88;79;red
283;223;89;80;red
284;222;88;79;red
285;222;88;79;red
286;221;86;79;red
287;220;85;79;red
288;219;84;78;red
289;219;84;78;red
290;218;83;77;red
