;N;GLU;BIL;KET;SG;BLO;pH;PRO;URO;NIT;LEU
0;random_stripes/0.png;100.0;3.0;160.0;1.025;-1.0;8.5;2.0;8.0;-1.0;2.0
1;random_stripes/1.png;2000.0;-1.0;15.0;1.015;2.0;6.5;0.0;1.0;0.0;3.0
2;random_stripes/2.png;100.0;-1.0;40.0;1.015;-1.0;6.5;1.0;1.0;0.0;0.0
3;random_stripes/3.png;250.0;3.0;40.0;1.03;4.0;6.5;-1.0;4.0;1.0;3.0
4;random_stripes/4.png;2000.0;-1.0;80.0;1.005;5.0;5.0;3.0;8.0;-1.0;3.0
5;random_stripes/5.png;2000.0;-1.0;15.0;1.03;4.0;5.0;0.0;2.0;1.0;1.0
6;random_stripes/6.png;-1.0;1.0;15.0;1.025;-1.0;6.0;3.0;1.0;0.0;3.0
7;random_stripes/7.png;100.0;2.0;5.0;1.03;4.0;7.5;4.0;4.0;1.0;3.0
8;random_stripes/8.png;100.0;3.0;80.0;1.015;-1.0;7.0;2.0;4.0;-1.0;0.0
9;random_stripes/9.png;250.0;1.0;40.0;1.015;5.0;7.5;4.0;4.0;0.0;0.0
10;random_stripes/10.png;-1.0;2.0;15.0;1.025;5.0;7.5;0.0;0.2;1.0;0.0
11;random_stripes/11.png;500.0;1.0;40.0;1.01;4.0;7.0;4.0;8.0;1.0;3.0
12;random_stripes/12.png;1000.0;1.0;40.0;1.02;5.0;8.0;-1.0;4.0;0.0;-1.0
13;random_stripes/13.png;100.0;2.0;160.0;1.03;5.0;6.0;1.0;1.0;0.0;2.0
14;random_stripes/14.png;100.0;3.0;15.0;1.015;3.0;7.0;3.0;8.0;0.0;3.0
15;random_stripes/15.png;250.0;3.0;40.0;1.03;-1.0;7.0;3.0;1.0;1.0;0.0
16;random_stripes/16.png;-1.0;-1.0;15.0;1.025;2.0;5.0;4.0;4.0;0.0;2.0
17;random_stripes/17.png;1000.0;2.0;5.0;1.01;2.0;6.5;2.0;2.0;0.0;3.0
18;random_stripes/18.png;250.0;-1.0;40.0;1.005;4.0;7.0;-1.0;0.2;-1.0;3.0
19;random_stripes/19.png;1000.0;-1.0;160.0;1.005;-1.0;6.0;-1.0;2.0;1.0;-1.0
20;random_stripes/20.png;2000.0;3.0;-1.0;1.005;4.0;7.5;2.0;2.0;0.0;0.0
21;random_stripes/21.png;1000.0;1.0;160.0;1.02;-1.0;6.0;2.0;8.0;1.0;3.0
22;random_stripes/22.png;-1.0;1.0;160.0;1.025;-1.0;8.5;4.0;0.2;-1.0;2.0
23;random_stripes/23.png;1000.0;3.0;15.0;1.015;4.0;6.0;2.0;4.0;-1.0;2.0
